Area,Item,Year,Unit,Value
New Caledonia,Coal,2015,kilotonnes,4.0739
New Caledonia,Coal,2020,kilotonnes,5.6434
New Zealand,Coal,2010,kilotonnes,9.7627
New Zealand,Coal,2015,kilotonnes,7.322
New Zealand,Coal,2020,kilotonnes,9.7627
Nicaragua,Coal,2010,NULL,NULL
Nicaragua,Coal,2015,NULL,NULL
Nicaragua,Coal,2020,NULL,NULL
Niger,Coal,2010,kilotonnes,0.673
Niger,Coal,2015,NULL,NULL
Niger,Coal,2020,NULL,NULL
Nigeria,Coal,2010,kilotonnes,17.2272
Nigeria,Coal,2015,kilotonnes,10.4954
Nigeria,Coal,2020,kilotonnes,6.0266
Niue,Coal,2010,NULL,NULL
Niue,Coal,2015,NULL,NULL
Niue,Coal,2020,NULL,NULL
Norfolk Island,Coal,2010,NULL,NULL
Norfolk Island,Coal,2015,NULL,NULL
Norfolk Island,Coal,2020,NULL,NULL
North Macedonia,Coal,2010,kilotonnes,0.4192
North Macedonia,Coal,2015,kilotonnes,1.9464
North Macedonia,Coal,2020,kilotonnes,15.4143
Northern Mariana Islands,Coal,2010,NULL,NULL
Northern Mariana Islands,Coal,2015,NULL,NULL
Northern Mariana Islands,Coal,2020,NULL,NULL
Norway,Coal,2010,kilotonnes,3.4619
Norway,Coal,2015,kilotonnes,3.396
Norway,Coal,2020,kilotonnes,3.3241
Oman,Coal,2010,NULL,NULL
Oman,Coal,2015,NULL,NULL
Oman,Coal,2020,NULL,NULL
Pacific Islands Trust Territory,Coal,2010,NULL,NULL
Pacific Islands Trust Territory,Coal,2015,NULL,NULL
Pacific Islands Trust Territory,Coal,2020,NULL,NULL
Pakistan,Coal,2010,kilotonnes,791.2837
Pakistan,Coal,2015,kilotonnes,330.5334
Pakistan,Coal,2020,kilotonnes,286.9912
Palau,Coal,2010,NULL,NULL
Palau,Coal,2015,NULL,NULL
Palau,Coal,2020,NULL,NULL
Palestine,Coal,2010,NULL,NULL
Palestine,Coal,2015,NULL,NULL
Palestine,Coal,2020,NULL,NULL
Panama,Coal,2010,kilotonnes,1.5994
Panama,Coal,2015,NULL,NULL
Panama,Coal,2020,NULL,NULL
Papua New Guinea,Coal,2010,NULL,NULL
Papua New Guinea,Coal,2015,NULL,NULL
Papua New Guinea,Coal,2020,NULL,NULL
Paraguay,Coal,2010,kilotonnes,0.0282
Paraguay,Coal,2015,kilotonnes,0.5876
Paraguay,Coal,2020,kilotonnes,0.989
Peru,Coal,2010,kilotonnes,16.4746
Peru,Coal,2015,kilotonnes,4.8814
Peru,Coal,2020,NULL,NULL
Philippines,Coal,2010,NULL,NULL
Philippines,Coal,2015,NULL,NULL
Philippines,Coal,2020,NULL,NULL
Pitcairn,Coal,2010,NULL,NULL
Pitcairn,Coal,2015,NULL,NULL
Pitcairn,Coal,2020,NULL,NULL
Poland,Coal,2010,kilotonnes,8591.1936
