Area,Item,Year,Unit,Value
Mauritania,Fuel oil,2015,kilotonnes,88.4085
Mauritania,Fuel oil,2020,kilotonnes,187.4468
Mauritius,Fuel oil,2010,kilotonnes,14.509
Mauritius,Fuel oil,2015,kilotonnes,11.2705
Mauritius,Fuel oil,2020,kilotonnes,16.4555
Mayotte,Fuel oil,2010,NULL,NULL
Mayotte,Fuel oil,2015,NULL,NULL
Mayotte,Fuel oil,2020,NULL,NULL
Mexico,Fuel oil,2010,kilotonnes,24.2809
Mexico,Fuel oil,2015,kilotonnes,9.5859
Mexico,Fuel oil,2020,kilotonnes,4.2171
Micronesia (Federated States of),Fuel oil,2010,NULL,NULL
Micronesia (Federated States of),Fuel oil,2015,NULL,NULL
Micronesia (Federated States of),Fuel oil,2020,NULL,NULL
Monaco,Fuel oil,2010,NULL,NULL
Monaco,Fuel oil,2015,NULL,NULL
Monaco,Fuel oil,2020,NULL,NULL
Mongolia,Fuel oil,2010,kilotonnes,0.0068
Mongolia,Fuel oil,2015,NULL,NULL
Mongolia,Fuel oil,2020,NULL,NULL
Montenegro,Fuel oil,2010,kilotonnes,8.4875
Montenegro,Fuel oil,2015,kilotonnes,3.127
Montenegro,Fuel oil,2020,kilotonnes,0.6504
Montserrat,Fuel oil,2010,NULL,NULL
Montserrat,Fuel oil,2015,NULL,NULL
Montserrat,Fuel oil,2020,NULL,NULL
Morocco,Fuel oil,2010,kilotonnes,84.6856
Morocco,Fuel oil,2015,kilotonnes,136.49
Morocco,Fuel oil,2020,kilotonnes,173.7036
Mozambique,Fuel oil,2010,kilotonnes,0.3146
Mozambique,Fuel oil,2015,kilotonnes,0.2193
Mozambique,Fuel oil,2020,kilotonnes,0.1537
Myanmar,Fuel oil,2010,kilotonnes,9.3809
Myanmar,Fuel oil,2015,kilotonnes,7.5047
Myanmar,Fuel oil,2020,kilotonnes,10.0063
Namibia,Fuel oil,2010,kilotonnes,18.7618
Namibia,Fuel oil,2015,kilotonnes,40.6505
Namibia,Fuel oil,2020,kilotonnes,41.2759
Nauru,Fuel oil,2010,kilotonnes,12.514
Nauru,Fuel oil,2015,kilotonnes,4.1536
Nauru,Fuel oil,2020,kilotonnes,0.1013
Nepal,Fuel oil,2010,NULL,NULL
Nepal,Fuel oil,2015,NULL,NULL
Nepal,Fuel oil,2020,NULL,NULL
Netherlands,Fuel oil,2010,kilotonnes,128.2054
Netherlands,Fuel oil,2015,kilotonnes,75.047
Netherlands,Fuel oil,2020,kilotonnes,46.9044
Netherlands Antilles (former),Fuel oil,2010,kilotonnes,317.6267
Netherlands Antilles (former),Fuel oil,2015,NULL,NULL
Netherlands Antilles (former),Fuel oil,2020,NULL,NULL
New Caledonia,Fuel oil,2010,kilotonnes,174.8778
New Caledonia,Fuel oil,2015,kilotonnes,63.8892
New Caledonia,Fuel oil,2020,NULL,NULL
New Zealand,Fuel oil,2010,kilotonnes,50.0314
New Zealand,Fuel oil,2015,kilotonnes,13.9671
New Zealand,Fuel oil,2020,kilotonnes,6.0038
Nicaragua,Fuel oil,2010,kilotonnes,1.7453
Nicaragua,Fuel oil,2015,kilotonnes,1.9634
Nicaragua,Fuel oil,2020,kilotonnes,1.8325
Niger,Fuel oil,2010,kilotonnes,3.6839
Niger,Fuel oil,2015,kilotonnes,1.0732
Niger,Fuel oil,2020,kilotonnes,7.023
Nigeria,Fuel oil,2010,kilotonnes,117.3392
Nigeria,Fuel oil,2015,kilotonnes,233.0306
Nigeria,Fuel oil,2020,kilotonnes,306.712
Niue,Fuel oil,2010,NULL,NULL
Niue,Fuel oil,2015,NULL,NULL
Niue,Fuel oil,2020,NULL,NULL
Norfolk Island,Fuel oil,2010,NULL,NULL
Norfolk Island,Fuel oil,2015,NULL,NULL
Norfolk Island,Fuel oil,2020,NULL,NULL
North Macedonia,Fuel oil,2010,kilotonnes,50.2502
North Macedonia,Fuel oil,2015,kilotonnes,17.6048
North Macedonia,Fuel oil,2020,kilotonnes,8.3903
Northern Mariana Islands,Fuel oil,2010,NULL,NULL
Northern Mariana Islands,Fuel oil,2015,NULL,NULL
Northern Mariana Islands,Fuel oil,2020,NULL,NULL
Norway,Fuel oil,2010,kilotonnes,6.2539
Norway,Fuel oil,2015,kilotonnes,22.3698
Norway,Fuel oil,2020,NULL,NULL
Oman,Fuel oil,2010,kilotonnes,301.8277
Oman,Fuel oil,2015,kilotonnes,92.9036
Oman,Fuel oil,2020,NULL,NULL
Pacific Islands Trust Territory,Fuel oil,2010,NULL,NULL
Pacific Islands Trust Territory,Fuel oil,2015,NULL,NULL
Pacific Islands Trust Territory,Fuel oil,2020,NULL,NULL
Pakistan,Fuel oil,2010,kilotonnes,7.2996
Pakistan,Fuel oil,2015,kilotonnes,12.1463
Pakistan,Fuel oil,2020,kilotonnes,11.4742
Palau,Fuel oil,2010,kilotonnes,51.752
Palau,Fuel oil,2015,kilotonnes,15.8674
Palau,Fuel oil,2020,kilotonnes,1.1083
Palestine,Fuel oil,2010,NULL,NULL
Palestine,Fuel oil,2015,kilotonnes,1.1053
Palestine,Fuel oil,2020,kilotonnes,2.2066
Panama,Fuel oil,2010,kilotonnes,10.3839
Panama,Fuel oil,2015,kilotonnes,6.9808
Panama,Fuel oil,2020,kilotonnes,6.4309
Papua New Guinea,Fuel oil,2010,kilotonnes,49.3508
Papua New Guinea,Fuel oil,2015,kilotonnes,11.5318
Papua New Guinea,Fuel oil,2020,kilotonnes,1.1424
Paraguay,Fuel oil,2010,kilotonnes,30.8715
Paraguay,Fuel oil,2015,kilotonnes,29.7722
Paraguay,Fuel oil,2020,NULL,NULL
Peru,Fuel oil,2010,kilotonnes,178.2367
Peru,Fuel oil,2015,kilotonnes,101.0112
Peru,Fuel oil,2020,kilotonnes,17.5075
Philippines,Fuel oil,2010,kilotonnes,21.8887
Philippines,Fuel oil,2015,kilotonnes,8.4428
